formula,n,pearson_r,pearson_p,spearman_r,spearman_p,event,ref,sig_5pct
F1_z,265,0.04383595603009019,0.47735324378661753,0.053244878821361204,0.38798410439324105,hormuz_crisis,GPR 공식 (Z-score),—
F2_z,265,0.023809770885971616,0.6996318820830344,0.03381205533417392,0.5837089828337328,hormuz_crisis,GPR 공식 (Z-score),—
F3_z,265,0.33539282610798293,2.1816926904968627e-08,0.30216763744287645,5.348779692152434e-07,hormuz_crisis,GPR 공식 (Z-score),✅
F4_z,265,0.05891283315268747,0.3394119138075592,0.039814847803055865,0.5187128409077302,hormuz_crisis,GPR 공식 (Z-score),—
F5_z,265,0.09657644879245358,0.11679084838190985,0.1176780110245396,0.05571525823998334,hormuz_crisis,GPR 공식 (Z-score),—
F1_z,382,0.19994755832338065,8.32181101486091e-05,0.23019264031366418,5.480081844589915e-06,israel_hamas_war,GPR 공식 (Z-score),✅
F2_z,382,0.14958804085467942,0.00338312391148135,0.1980524460512382,9.743887839912591e-05,israel_hamas_war,GPR 공식 (Z-score),✅
F3_z,382,0.5698757270558086,2.8242467777466286e-34,0.45144758209626784,1.4012783921751777e-20,israel_hamas_war,GPR 공식 (Z-score),✅
F4_z,382,0.2047990260833853,5.5195072964040127e-05,0.2209534485136749,1.3106076872130937e-05,israel_hamas_war,GPR 공식 (Z-score),✅
F5_z,382,0.32544006236770895,7.120209332675659e-11,0.34200703240328006,6.3823209642654344e-12,israel_hamas_war,GPR 공식 (Z-score),✅
F1_z,437,-0.0594407551467862,0.21493112547971488,-0.04689000733132539,0.3281016530342804,israel_iran,GPR 공식 (Z-score),—
F2_z,437,-0.052260062795237705,0.2756740230733868,-0.041643051567189754,0.3851685877732596,israel_iran,GPR 공식 (Z-score),—
F3_z,437,0.2272655000070541,1.5848392552315196e-06,0.24164798368695675,3.170114741274314e-07,israel_iran,GPR 공식 (Z-score),✅
F4_z,437,-0.03459647980498874,0.4706830109161351,-0.025835392157805632,0.5901489816579444,israel_iran,GPR 공식 (Z-score),—
F5_z,437,0.10215192984841726,0.032768289441185774,0.1078787592943901,0.02411560164481974,israel_iran,GPR 공식 (Z-score),✅
F1_z,686,0.09943368201402,0.009159606019675562,0.07585996140577456,0.04701855807775455,russia_ukraine_war,GPR 공식 (Z-score),✅
F2_z,686,0.03879560174001089,0.3102737135572542,0.023003357468943778,0.5475232551584599,russia_ukraine_war,GPR 공식 (Z-score),—
F3_z,686,0.7832600443077953,2.4917289298075297e-143,0.6741977357262682,4.235646882171097e-92,russia_ukraine_war,GPR 공식 (Z-score),✅
F4_z,686,0.14314020501644542,0.00016881574037663929,0.10426838898318129,0.006267850149645983,russia_ukraine_war,GPR 공식 (Z-score),✅
F5_z,686,0.11854953926389045,0.001868883550054391,0.05352124887678891,0.16143711990311596,russia_ukraine_war,GPR 공식 (Z-score),✅
F1_z,492,0.08855695694695193,0.04962870871775416,0.05107550358536385,0.2581536262763059,soleimani_assassination,GPR 공식 (Z-score),✅
F2_z,492,0.06956380982847161,0.12333083241935655,0.05518041622303269,0.22179137460769496,soleimani_assassination,GPR 공식 (Z-score),—
F3_z,492,0.46035342058770595,3.542577326930672e-27,0.23639941945117254,1.1227858138334043e-07,soleimani_assassination,GPR 공식 (Z-score),✅
F4_z,492,0.11053867068336097,0.0141610684270788,0.05836881576279321,0.19618684503335226,soleimani_assassination,GPR 공식 (Z-score),✅
F5_z,492,0.2067756873345042,3.7475073010631224e-06,0.13994578657773243,0.0018609068407623502,soleimani_assassination,GPR 공식 (Z-score),✅
F1_z,393,-0.10265024106695597,0.041966202285619744,-0.10865301234421765,0.03128096868970238,us_israel_iran,GPR 공식 (Z-score),✅
F2_z,393,-0.14147197813490853,0.004957473309674092,-0.14208844954443012,0.00477023527234676,us_israel_iran,GPR 공식 (Z-score),✅
F3_z,393,0.7228441648526497,9.641945397564012e-65,0.5754029931305403,5.046117188638727e-36,us_israel_iran,GPR 공식 (Z-score),✅
F4_z,393,0.07920311185368692,0.11697390776200048,0.052749452432523825,0.29689616405760316,us_israel_iran,GPR 공식 (Z-score),—
F5_z,393,-0.2886893193113036,5.563072027515611e-09,-0.2665173371873396,8.140037414499549e-08,us_israel_iran,GPR 공식 (Z-score),✅
